ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10193,0,0,0,0,0,15,0,0,0,0
10194,9,27,0,23,0,0,0,0,0,5
10195,0,0,0,0,0,0,0,0,0,0
10196,0,0,0,0,0,0,0,0,0,0
10197,0,0,0,0,0,0,0,0,0,0
10198,0,0,0,0,0,0,0,0,0,0
10199,0,0,16,0,22,0,0,0,0,0
10200,28,28,28,28,28,28,28,28,28,28
10201,16,0,6,0,0,0,0,5,0,15
10202,0,0,0,0,0,0,0,0,0,15
10203,0,0,0,32,4,18,24,18,19,0
10204,0,0,0,0,0,0,0,0,0,0
10205,0,16,18,0,0,23,12,0,0,0
10206,8,8,8,8,8,8,8,8,8,8
10207,8,0,17,0,0,0,0,19,0,16
10208,10,0,0,0,0,0,0,0,0,26
10209,14,14,14,14,14,14,14,14,14,14
10210,0,0,0,0,0,0,17,0,0,0
10211,0,0,0,0,0,0,0,0,0,0
10212,0,0,0,0,0,0,0,0,0,0
10213,9,9,9,9,9,9,9,9,9,9
10214,0,0,0,0,12,27,0,24,0,0
10215,13,13,13,13,13,13,13,13,13,13
10216,28,0,20,0,19,30,0,22,0,0
10217,0,0,0,0,0,0,0,0,0,0
10218,0,0,0,0,0,0,0,0,0,0
10219,0,0,0,0,0,0,0,0,0,0
10220,0,0,0,0,0,0,0,0,0,0
10221,0,0,0,0,0,0,0,0,0,0
10222,0,0,0,0,0,0,0,0,0,0
10223,17,17,17,17,17,17,17,17,17,17
10224,0,0,0,0,0,0,0,0,0,0
10225,0,0,0,0,0,0,0,0,0,0
10226,0,0,0,0,0,0,0,0,0,11
10227,0,0,0,0,0,0,9,0,0,0
10228,0,0,0,0,0,0,0,0,0,0
10229,61,61,61,61,61,61,61,61,61,61
10230,0,0,0,0,0,0,0,0,0,0
10231,2,2,2,2,2,2,2,2,2,2
10232,0,0,0,0,0,13,0,0,0,0
10233,6,6,6,6,6,6,6,6,6,6
10234,0,16,0,0,0,0,0,0,0,0
10235,14,0,7,18,0,14,20,29,0,25
10236,18,18,18,18,18,18,18,18,18,18
10237,0,0,0,0,0,0,0,0,0,0
10238,0,0,0,0,24,0,0,0,0,0
10239,0,0,0,0,0,0,0,0,0,0
10240,27,0,0,0,0,0,0,0,0,0
10242,0,0,0,0,0,0,0,0,0,0
10243,0,8,0,0,11,0,13,0,0,0
10244,12,0,0,0,0,21,0,0,0,14
10245,0,5,0,19,0,0,0,0,0,0
10246,5,5,5,5,5,5,5,5,5,5
10247,23,7,0,13,0,3,0,0,0,0
10248,0,0,13,0,0,0,0,0,0,0
10249,10,0,0,0,0,27,0,12,0,0
10250,0,0,0,0,0,0,0,0,0,0
10251,0,0,0,0,0,0,0,0,0,0
10252,0,0,0,0,0,0,0,0,0,0
10253,0,0,0,0,0,0,0,0,0,0
10254,5,5,5,5,5,5,5,5,5,5
10255,0,0,0,0,0,0,0,0,0,0
10256,14,0,0,0,29,0,0,26,0,0
10257,0,0,0,0,0,0,0,0,0,0
10258,0,0,0,0,0,0,0,0,0,0
10259,21,21,21,21,21,21,21,21,21,21
10260,0,0,0,0,0,0,0,0,0,0
10261,0,0,0,0,0,0,13,0,0,0
10262,0,0,0,0,0,0,0,0,0,0
10263,0,0,0,0,0,0,0,0,0,0
10264,4,0,7,0,0,0,0,0,0,0
10265,13,13,13,13,13,13,13,13,13,13
10266,14,14,14,14,14,14,14,14,14,14
10267,24,24,24,24,24,24,24,24,24,24
10268,0,0,0,0,0,0,0,0,0,0
10269,3,0,5,3,13,0,0,0,0,4
10270,19,19,19,19,19,19,19,19,19,19
10271,0,0,0,0,0,0,0,0,0,0
10272,0,0,0,0,0,0,0,0,0,0
10273,0,0,0,0,0,0,0,0,0,0
10274,0,0,0,0,0,0,0,0,0,0
10275,0,0,0,0,0,0,0,0,0,0
10276,3,3,3,3,20,3,3,3,3,3
10277,0,0,0,0,0,0,0,0,0,0
10278,0,0,0,0,0,0,0,0,0,0
10279,12,0,0,0,0,0,0,0,0,0
